"DDE Game",
SubjID,"Payment (cents)"
A2ESLQMPFRQS24_dg_v15,186
A2WZZ8YK1B9CYH_dg_v15,330
ACDTQNYOT3GG8_dg_v15,0
A0017268R9SKD8U2Y3F_dg_v15,124
A0217417E4SVFYPETQH9_dg_v15,230
A103XX92AATRSG_dg_v15,320
A10IHZ0KF3B4NA_dg_v15,82
A1102MP1CZI32V_dg_v15,164
A128FRTC6470FA_dg_v15,0
A132R4FPJHAB55_dg_v15,186
A13B0CDD45C5D5_dg_v15,48
A14IECILV6JQNO_dg_v15,26
A15781PHGW377Y_dg_v15,0
A16644NV37L66P_dg_v15,226
A166A2M31CW2C7_dg_v15,0
A168RQT8B18FH_dg_v15,216
A16TLXZRNIR97F_dg_v15,150
A16XX96YBK8XXJ_dg_v15,34
A17EWH9Q6PB6IR_dg_v15,0
A17H9ST6MW8HND_dg_v15,194
A17HVHGFQW5373_dg_v15,22
A18RDBJFY3QWZL_dg_v15,0
A19C4VNUIIRCPD_dg_v15,76
A1AFU2QT5W0B3A_dg_v15,8
A1B4KC5KP7FH1Z_dg_v15,0
A1CFUMXK9QFT9M_dg_v15,8
A1D1DV3U4A005I_dg_v15,0
A1D8CRWLA7063I_dg_v15,366
A1DNPYZKVJ05O9_dg_v15,0
A1EFW9P6ZTN89R_dg_v15,0
A1EH9BPKYXFBS5_dg_v15,0
A1EJF2XR921HDX_dg_v15,0
A1FBBY2JJYRMRI_dg_v15,62
A1FF5C5BXODWSY_dg_v15,208
A1GF29TP5AVQ49_dg_v15,0
A1GKTC682SWY23_dg_v15,180
A1GOJEDZM2CQTN_dg_v15,4
A1GXEBG9Q6VDCD_dg_v15,208
A1GXPNXDLMT0QB_dg_v15,34
A1HW17394KQL8H_dg_v15,0
A1IK1JPSPHDYOW_dg_v15,0
A1JO6AY55FG7QU_dg_v15,70
A1MQGIW3O4D1E3_dg_v15,124
A1MTE8ERPKO6V8_dg_v15,100
A1N8BW04V76ZSY_dg_v15,62
A1NFBKUYYVUYWF_dg_v15,60
A1NU5LKLJMWSVD_dg_v15,94
A1PAN54I7HWSZI_dg_v15,274
A1RYC2OETJVEG7_dg_v15,252
A1TH8X83SGT5ZE_dg_v15,328
A1U0KKUUXX24EV_dg_v15,38
A1UL0HQUZQPMSX_dg_v15,316
A1YDV4FE3ABONQ_dg_v15,220
A1YZV7UNBHZUE4_dg_v15,78
A1ZK0XP8BR9LDM_dg_v15,116
A1ZNKS5S35HU6G_dg_v15,436
A1ZQUQ98LMO53P_dg_v15,306
A20ALQT1HIVSAH_dg_v15,132
A20VQ66XTPBM1Y_dg_v15,216
A21M2EFFRKX5S3_dg_v15,302
A224B7BAQ0MZSN_dg_v15,188
A229GCVGAFU59A_dg_v15,170
A230VUDYOCRZ4N_dg_v15,0
A23AFAXSEYH61S_dg_v15,0
A23S3TBFRILU5H_dg_v15,370
A246FUQU6UPQNT_dg_v15,0
A25SF3739J5EOQ_dg_v15,334
A27Y441WSBIXM6_dg_v15,228
A28V5XY8A0R6Q5_dg_v15,0
A29EC11IRGDBW6_dg_v15,158
A2A9JD9UV8DQZX_dg_v15,0
A2AIOSR6Q85I08_dg_v15,0
A2APPZDU0VS9LN_dg_v15,164
A2BW6WD7LZ9EGV_dg_v15,0
A2C73Y1COWCA51_dg_v15,486
A2D2PAD9XLZ1TC_dg_v15,290
A2D8ZM1E0USP73_dg_v15,38
A2FOL17JPRRIF7_dg_v15,138
A2GLE1GVYNF3O6_dg_v15,358
A2GX50080I86JN_dg_v15,304
A2HAP907D34O2A_dg_v15,120
A2IABGWWDKRQS3_dg_v15,0
A2JFH6UKUUXSHH_dg_v15,0
A2JH6SJZDJHZ9I_dg_v15,192
A2JSJEYL56UXGS_dg_v15,0
A2KEEU97SY67BK_dg_v15,0
A2LCFORIW0NF1S_dg_v15,0
A2LTZBQ4ZXTXV4_dg_v15,264
A2NJGU26SOMOKV_dg_v15,328
A2OF04HNGMERO3_dg_v15,106
A2OTMHE0TLH5T9_dg_v15,138
A2P305OU1WZT3K_dg_v15,94
A2PAAV3B9R456X_dg_v15,416
A2PB7WCOY3T77L_dg_v15,160
A2PG7Y2D8BMEGM_dg_v15,94
A2PLG0QUZWV365_dg_v15,40
A2R02DYCDLY75U_dg_v15,316
A2RB4WF5CDMEL9_dg_v15,0
A2RRDATXKQ8HHC_dg_v15,630
A2S6QOCFC3EAYH_dg_v15,56
A2S70IP5D0CZ2X_dg_v15,114
A2T1U1QJ4CLFHO_dg_v15,184
A2TDGWWPX6IMIZ_dg_v15,130
A2TG7EEQ2XG2IK_dg_v15,244
A2TS7TRT4SARLS_dg_v15,0
"A2UNQAI5MDCKYG _dg_v15",0
A2VWG0L5JHOBWN_dg_v15,0
A2WGW5Y3ZFBDEC_dg_v15,0
A2WHVVLZWWN7PL_dg_v15,58
A2WUQGSG1LUJG0_dg_v15,6
A2XFO0X6RCS98M_dg_v15,0
A2XH9B2S7DLWMO_dg_v15,314
A2XUADP5L61HQ5_dg_v15,148
A2YL64PU2DBHTB_dg_v15,0
A2YXL5GQ3LZUY0_dg_v15,0
A2YYQJ3JWA2KGD_dg_v15,142
A2Z70GL7HTFFQR_dg_v15,0
A2ZJS73XSSMRTD_dg_v15,0
A2ZRQR5BI9ZLBE_dg_v15,400
A315M85ZU9CJVK_dg_v15,0
A31IZKL0SIL3MB_dg_v15,218
A31K1QSNJV8ZR_dg_v15,0
A325BIJIG3AK1T_dg_v15,0
A32TIQFN3LFLWH_dg_v15,124
A339I8W36KWS4Q_dg_v15,0
A33USOAAPHGYUE_dg_v15,12
A35EWKRZT34FRX_dg_v15,268
A35KO5LPASBFI9_dg_v15,328
A35LKAE4KCSWX9_dg_v15,0
A36MTY8RSWBZU7_dg_v15,194
A36ZLJPURT0ILP_dg_v15,286
A36ZRUGMKQA5KO_dg_v15,136
A37A9AGVMHRN2T_dg_v15,98
A38DAV8NCBY1J6_dg_v15,0
A38U90G16D59X8_dg_v15,244
A39MOCMDRIOSJM_dg_v15,2
A3B12SVJBPPI29_dg_v15,364
A3BBGFC0RG39HK_dg_v15,68
A3CTEVJQM763P8_dg_v15,0
A3ETP7E1EXUFO6_dg_v15,0
A3GTIIFSMHAKRZ_dg_v15,42
A3H6C8N09ZMJEO_dg_v15,334
A3HLSLIU5PQ3A_dg_v15,274
A3IB23TZXY5X8G_dg_v15,204
A3IKJTC7PW3ZSI_dg_v15,76
A3JIHCE5OB9ZV7_dg_v15,82
A3K2GF37E3W6G7_dg_v15,314
A3K6V27ZCPYCUC_dg_v15,118
A3KSSE0HD0QNUJ_dg_v15,142
A3NSX46VYD9J49_dg_v15,118
A3O81LHBBI8NPK_dg_v15,12
A3P74FP62XNVYI_dg_v15,0
A3PCAK86ZLSWXH_dg_v15,0
A3PM8L29POUPBQ_dg_v15,16
A3PUU1XU4C1A3V_dg_v15,268
A3T3K88IYZ9H8K_dg_v15,268
A3U5CRG5S8I800_dg_v15,0
A4397UDZV79P0_dg_v15,112
A48JQRJKCSP4R_dg_v15,224
A498BPKW6UKPL_dg_v15,246
"A4XGUI8BQUQ7N _dg_v15",278
A4ZPIPBDO624H_dg_v15,90
A5CMNI7B03XL_dg_v15,360
A5JVCIAQJXCQF_dg_v15,116
A6HTEKL6YMA_dg_v15,286
A6IFXOBCV436G_dg_v15,78
A6L5F9DAM03TT_dg_v15,0
A8RAYYZKGDBQD_dg_v15,300
A9LSEP71DNP4O_dg_v15,0
A9ML82UBUIZWK_dg_v15,318
AA8NOYG0AXRJO_dg_v15,82
AA9PW65NC1SK5_dg_v15,352
AAHZCL4LIPCBQ_dg_v15,4
AANKP2NELIU8L_dg_v15,152
AAQ4Q3ULMAF5H_dg_v15,54
ACSZ7IOG3J5NR_dg_v15,164
AD1ILDUXZHASF_dg_v15,0
ADQEDEGVPG7R_dg_v15,60
AECABCVIEL8D3_dg_v15,156
AFOLAU6E19OB7_dg_v15,176
AGBLVZJFLIBKO_dg_v15,0
AHKOZVL0KZKAB_dg_v15,230
AJDEO1HYFW20L_dg_v15,0
AJPQEZBVJXVE9_dg_v15,94
AK0PU96DYAJXN_dg_v15,0
AM6N8Q3QMD09P_dg_v15,24
ANK8K5WTHJ61C_dg_v15,30
ANOQ07C1UTW7Y_dg_v15,0
ANPCXN619ACW9_dg_v15,380
ANUMWP3PGWQBJ_dg_v15,82
AOGT0KZDUX8CC_dg_v15,64
APYISFXR2COH4_dg_v15,114
AQGTIJZIVSL7D_dg_v15,152
ASIG673XZ0995_dg_v15,96
ASIWDS4J90WK3_dg_v15,282
ATNCWXU09OPI0_dg_v15,206
ATPA7A6FFZARR_dg_v15,166
AU0LVWJM11NLF_dg_v15,0
AU3IU9PKEL7RB_dg_v15,326
AU4GO952TBC1H_dg_v15,174
AUK4KGOJP9F0H_dg_v15,110
AVC62JNYAXA45_dg_v15,30
AVX3SWFMBEPMZ_dg_v15,68
AVZWILVYCMUQF_dg_v15,0
AX2CMBWBPSS8N_dg_v15,152
AX7JIBCDH0K1I_dg_v15,0
AY0BJCGY2DHIX_dg_v15,276
AYM5JVHY89DZ3_dg_v15,0
a13p6lc1sfxygs_dg_v15,170
djdeibler_dg_v15,0
